"id","ciudad","municipio_id","ip","host","deleted_at","created_at","updated_at","searchtext","status","creado_por_id"
126,"SILAO DE LA VICTORIA",371,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'sila':1 'victori':4",False,1
127,"TARANDACUAO",365,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'tarandacua':1",False,1
128,"URIANGATO",369,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'uriangat':1",False,1
129,"VALLE DE SANTIAGO",370,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'santiag':3 'vall':1",False,1
130,"VILLAGRÁN",374,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'villagran':1",False,1
131,"YURIRIA",376,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'yuriri':1",False,1
132,"ACAPULCO DE JUÁREZ",383,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'acapulc':1 'juarez':3",False,1
133,"CIUDAD APAXTLA DE CASTREJÓN",391,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'apaxtl':2 'castrejon':4 'ciud':1",False,1
134,"ARCELIA",394,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'arceli':1",False,1
135,"ATOYAC DE ÁLVAREZ",399,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'alvarez':3 'atoyac':1",False,1
136,"AYUTLA DE LOS LIBRES",401,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'ayutl':1 'libr':4",False,1
137,"AZOYÚ",402,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'azoyu':1",False,1
138,"BUENAVISTA DE CUÉLLAR",405,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'buenav':1 'cuell':3",False,1
139,"CHILAPA DE ÁLVAREZ",407,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'alvarez':3 'chilap':1",False,1
140,"CHILPANCINGO DE LOS BRAVO",408,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'brav':4 'chilpancing':1",False,1
141,"OCOTITO",408,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'ocotit':1",False,1
142,"COPALA",412,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'copal':1",False,1
143,"COYUCA DE BENÍTEZ",417,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'benitez':3 'coyuc':1",False,1
144,"COYUCA DE CATALÁN",418,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'catalan':3 'coyuc':1",False,1
145,"CUAJINICUILAPA",420,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'cuajinicuilap':1",False,1
146,"CUTZAMALA DE PINZÓN",427,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'cutzamal':1 'pinzon':3",False,1
147,"ZUMPANGO DEL RÍO",428,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'rio':3 'zumpang':1",False,1
148,"CRUZ GRANDE",430,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'cruz':1 'grand':2",False,1
149,"HUAMUXTITLÁN",435,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'huamuxtitlan':1",False,1
150,"HUITZUCO",436,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'huitzuc':1",False,1
151,"IGUALA DE LA INDEPENDENCIA",437,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'igual':1 'independent':4",False,1
152,"""TIERRA COLORADA	""",442,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'color':2 'tierr':1",False,1
153,"LA UNIÓN",445,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'union':2",False,1
154,"MARQUELIA",449,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'marqueli':1",False,1
155,"OLINALÁ",453,"","",NULL,"2020-07-08 16:33:32","2020-07-08 16:33:32","'olinal':1",False,1
